(19001, 6157.72021484375)
(19002, 8187.8251953125)
(19003, 7662.0703125)
(19004, 7945.74267578125)
(19005, 7907.4697265625)
(19006, 6364.13671875)
(19007, 6717.33251953125)
(19008, 7150.9443359375)
(19009, 7828.8974609375)
(19010, 8286.5673828125)
(19011, 7156.28759765625)
(19012, 8412.6904296875)
(19013, 7704.21728515625)
(19014, 9192.1279296875)
(19015, 8053.2587890625)
(19016, 8728.8310546875)
(19017, 7065.97216796875)
(19018, 6721.60546875)
(19019, 7962.921875)
(19020, 6907.43505859375)
(19021, 7816.09716796875)
(19022, 8141.5537109375)
(19023, 7195.83984375)
(19024, 7158.498046875)
(19025, 7806.333984375)
(19026, 7553.32373046875)
(19027, 6924.45849609375)
(19028, 7489.740234375)
(19029, 7653.00439453125)
(19030, 6806.27099609375)
(19031, 6577.0283203125)
(19032, 6633.90869140625)
(19033, 6443.9677734375)
(19034, 6010.70263671875)
(19035, 6810.3603515625)
(19036, 6946.3203125)
(19037, 7824.55029296875)
(19038, 6682.6279296875)
(19039, 7665.87646484375)
(19040, 8025.97314453125)
(19041, 8172.09912109375)
(19042, 6844.97412109375)
(19043, 8136.24365234375)
(19044, 8161.65185546875)
(19045, 6618.71337890625)
(19046, 7917.98876953125)
(19047, 7840.4443359375)
(19048, 7607.71875)
(19049, 6774.3203125)
(19050, 6667.85791015625)
(19051, 6857.1494140625)
(19052, 7537.4296875)
(19053, 8478.8974609375)
(19054, 8930.01171875)
(19055, 7541.2958984375)
(19056, 8359.291015625)
(19057, 6883.7041015625)
(19058, 8275.8115234375)
(19059, 7070.63525390625)
(19060, 6496.6591796875)
(19061, 6808.4677734375)
(19062, 8022.689453125)
(19063, 7333.70751953125)
(19064, 8634.2998046875)
(19065, 8156.92041015625)
(19066, 8399.3037109375)
(19067, 8009.541015625)
(19068, 7881.90673828125)
(19069, 7169.28857421875)
(19070, 6897.26806640625)
(19071, 6533.74365234375)
(19072, 7717.11767578125)
(19073, 8429.7216796875)
(19074, 7519.87255859375)
(19075, 7037.18798828125)
(19076, 6497.0224609375)
(19077, 8781.2265625)
(19078, 7486.7841796875)
(19079, 6851.41162109375)
(19080, 8446.8603515625)
(19081, 7084.91015625)
(19082, 6977.0302734375)
(19083, 6240.6533203125)
(19084, 8426.3837890625)
(19085, 7309.73828125)
(19086, 7767.05322265625)
(19087, 8388.87890625)
(19088, 6840.77490234375)
(19089, 8459.2421875)
(19090, 9117.6376953125)
(19091, 7922.88427734375)
(19092, 7806.64794921875)
(19093, 6567.81689453125)
(19094, 7069.44384765625)
(19095, 7429.78271484375)
(19096, 5944.02197265625)
(19097, 8007.140625)
(19098, 7296.84130859375)
(19099, 7466.4736328125)
(19100, 6478.98681640625)
(19101, 7509.36083984375)
(19102, 6382.47802734375)
(19103, 8209.9365234375)
(19104, 6957.36767578125)
(19105, 6824.3212890625)
(19106, 6467.84375)
(19107, 8048.18896484375)
(19108, 6498.7783203125)
(19109, 7499.27783203125)
(19110, 7568.109375)
(19111, 7598.37353515625)
(19112, 6289.953125)
(19113, 8024.412109375)
(19114, 8411.2783203125)
(19115, 6906.16162109375)
(19116, 7034.32763671875)
(19117, 7872.65380859375)
(19118, 7219.05224609375)
(19119, 6781.7705078125)
(19120, 7416.9658203125)
(19121, 6380.34716796875)
(19122, 6205.66796875)
(19123, 6316.05126953125)
(19124, 6997.244140625)
(19125, 6415.78662109375)
(19126, 6767.47265625)
(19127, 7087.59765625)
(19128, 5884.65283203125)
(19129, 5976.9248046875)
(19130, 7429.04052734375)
(19131, 7194.90380859375)
(19132, 6773.2265625)
(19133, 7795.140625)
(19134, 7754.2109375)
(19135, 9014.1875)
(19136, 6359.86474609375)
(19137, 6686.91943359375)
(19138, 8142.31640625)
(19139, 6498.01171875)
(19140, 7830.5078125)
(19141, 8042.5732421875)
(19142, 8031.734375)
(19143, 7166.03564453125)
(19144, 8915.1083984375)
(19145, 6251.7734375)
(19146, 7205.30615234375)
(19147, 7758.6591796875)
(19148, 8048.5234375)
(19149, 7870.30712890625)
(19150, 7145.98974609375)
(19151, 9664.8828125)
(19152, 7306.962890625)
(19153, 7033.4267578125)
(19154, 7553.2587890625)
(19155, 8366.701171875)
(19156, 7114.9296875)
(19157, 7103.08740234375)
(19158, 7285.76171875)
(19159, 7848.65771484375)
(19160, 7169.5390625)
(19161, 7644.33642578125)
(19162, 7843.16552734375)
(19163, 6699.67138671875)
(19164, 8206.7080078125)
(19165, 7288.7880859375)
(19166, 6575.25927734375)
(19167, 7447.09765625)
(19168, 7250.87841796875)
(19169, 7695.51708984375)
(19170, 7673.23876953125)
(19171, 8313.3583984375)
(19172, 8305.47265625)
(19173, 6897.45166015625)
(19174, 8123.173828125)
(19175, 7002.3896484375)
(19176, 7581.197265625)
(19177, 9434.6611328125)
(19178, 8058.46484375)
(19179, 7447.58154296875)
(19180, 6165.58447265625)
(19181, 7357.36474609375)
(19182, 7468.939453125)
(19183, 6834.5439453125)
(19184, 7617.99560546875)
(19185, 6553.7890625)
(19186, 9075.2587890625)
(19187, 7406.9052734375)
(19188, 8534.4716796875)
(19189, 6562.2734375)
(19190, 7155.6220703125)
(19191, 8447.736328125)
(19192, 9408.431640625)
(19193, 6929.25146484375)
(19194, 7335.0439453125)
(19195, 7738.92822265625)
(19196, 6874.46435546875)
(19197, 5711.728515625)
(19198, 6208.4833984375)
(19199, 7184.6923828125)
(19200, 7174.92529296875)
(19201, 8145.962890625)
(19202, 6772.478515625)
(19203, 8311.017578125)
(19204, 6816.1884765625)
(19205, 7017.75048828125)
(19206, 7905.62646484375)
